CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
HUAGUIL;-7.85843;-77.77681;1;1;1;1;0;1;0
EL ALIZAR;-7.96785;-77.67655;1;0;1;1;0;1;1
CANUCUBAMBA;-7.7793;-77.81006;1;1;1;1;0;1;1
BACAS;-7.81823;-77.74412;1;1;1;1;0;0;0
PLAYA DE LOS LOROS;-7.78709;-77.65888;1;0;1;1;0;0;0
PORVENIR;-7.832221;-77.94368;1;0;1;1;0;0;0
HUANGASPARATE;-7.84291;-77.98791;1;1;1;1;0;0;0
CONDORPINA;-7.845667;-77.94851;1;1;1;1;0;0;0
CALVARIO;-7.857;-77.97692;1;1;1;1;0;0;0
CARGACHE;-7.8672;-77.99839;1;1;1;1;0;0;0
SHIRACPATA;-7.86263;-77.97713;1;1;1;1;0;1;1
CUNGUSH;-7.87759;-77.98942;1;1;1;1;0;0;0
CHOCTAMALCA;-7.87485;-77.96596;1;1;1;1;0;0;0
CASA BLANCA;-7.86691;-77.97011;1;0;1;1;0;0;0
HUAYOBAMBA;-7.75091;-78.13172;1;0;1;1;0;1;0
LLUR;-7.76518;-78.15351;1;1;1;1;0;0;0
LA LUCUMA;-7.77328;-78.14942;1;1;1;1;0;0;0
SUNCHUQUINO;-7.77597;-78.1575;1;1;1;1;0;0;0
PAMPA VERDE;-7.84;-78.20283;1;0;1;1;0;0;0
PERRIQUILQUE;-7.86444;-78.18562;1;1;1;1;0;0;0
LA AURORA;-7.86295;-78.20904;1;0;1;1;0;0;0
CORRAL GRANDE;-7.8733;-78.20304;1;0;1;1;0;0;0
CUSHURO;-7.87062;-78.183848;1;0;1;1;0;0;0
MUMPAMBA;-7.74313;-78.12882;1;0;1;1;0;0;0
MALCACHUGO;-7.758017;-78.140378;1;1;1;1;0;0;0
CHIRCUCHO;-7.76034;-78.14419;1;1;1;1;0;1;1
HUAGUIL ALTO;-7.82717;-78.19186;1;0;1;1;0;0;0
LA ENCA�ADA;-7.83578;-78.20755;1;1;1;1;0;0;0
CHURGES;-7.91942;-77.9033;1;1;1;1;0;0;0
CACHUARA;-7.92443;-77.89525;1;0;1;1;0;0;0
LA VICTORIA;-7.61227;-77.75693;1;1;1;1;0;1;1
SANTIAGO DE CHUCO;-8.145373;-78.173263;1;1;1;1;0;2;2
HUASHGON;-8.16779;-78.16781;1;1;1;1;0;0;0
CACHICADAN;-8.094633;-78.148932;1;1;1;1;0;1;1
QUIRUVILCA;-8.001326;-78.308849;1;1;1;1;0;1;1
QUESQUENDA;-7.95093;-78.21768;1;1;1;1;0;3;3
CALLACUYAN;-7.97007;-78.25964;1;1;1;1;0;1;1
LAGUNA DEL TORO;-7.9909;-78.24835;1;0;1;1;0;0;0
